iatiidentifier,donor,x1_donor_type,modality,recipient_main,complete_flag,y1_gap_full,y2_early_days,commitment_usd_full,s1_share,s2_hhi_net,s3_n_donors,n_years_obs,withheld
GB-1-203413-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,NP,1,1.1102230246251563e-16,-699,7941300,0.6036024462306089,0.10547626476352784,3,1,0
GB-1-203536-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,GH,1,0,-1537,18529700,0.8372025908888082,0.0255756703889356,3,1,0
GB-1-203536-113,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,GH,1,0,-1050,12435174.46245,0.6731298715396062,0.31169119503082854,2,1,0
GB-1-203585-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A01_general,SL,1,0,-546,49396442.4948,0.5481403976889676,0.24859736104110108,2.5,1,0
GB-1-203766-109,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ET,1,0,-1147,6617750,0.7697256492556929,0.048582608045620757,3,1,0
GB-1-203766-111,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ET,1,0,-1147,19853250,0.7697256492556929,0.048582608045620757,3,1,0
GB-1-203766-112,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,ET,1,0,-1147,590581.2455,0.13775945380200597,0.7110786060999041,2.6666666666666665,1,0
GB-1-204024-107,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A01_general,PK,1,0,-1461,119119500,0.12196224289848442,0.39911390633999444,3,1,0
GB-1-204179-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,MZ,1,0,-638,43015375,0.1652887464886027,0.4087948554140243,5.5,1,0
GB-1-204288-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,TZ,1,-0.0105888150463369,-1640,4798240.667550001,0.07114908811776521,0.43736340312880817,5,1,0
GB-1-205145-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,NP,1,0.3344203778575937,NA,18472932.9405,0.2494650017001863,0.6444855675707252,2.857142857142857,1,1
GB-1-205145-104,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,NP,1,0.00834096163209308,NA,75846380.84365,0.2937321822664891,0.5674842385982685,2.875,1,0
GB-1-114506-106,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,IN,1,0,-913,60883300,0.13575178791348874,0.7469249720947313,2,1,0
GB-1-113707-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,IN,1,0,-640,25147450,0.13575178791348874,0.7469249720947313,2,1,0
GB-1-113963-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,IN,1,0,-550,24485675,0.13575178791348874,0.7469249720947313,2,1,0
GB-1-114086-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,MZ,1,0.2448078177494707,-1278,21031202.88225,0.1652887464886027,0.4087948554140243,5.5,1,0
GB-1-201375-102,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,NP,1,0.29381310318456433,-480,100458221.92385,0.5318363121594969,0.11557380363015085,4,1,1
GB-1-201375-106,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,NP,1,0,-480,4500070,0.5318363121594969,0.11557380363015085,4,1,0
GB-1-201564-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A01_general,ZM,1,0.13626834381551367,-547,63133335,0.6693811341067037,0.05815353811191748,3,1,0
GB-1-201629-108,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,GH,1,-0.06105167494004226,-654,39412739.40105,0.4891852861776894,0.3657091330774263,2.75,1,0
CA-3-A033033001,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,MZ,1,6.802691743246214e-11,365,103448275.86910623,0.37403391245684775,0.2825635048269493,4.25,1,0
CA-3-A033033002,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A02_sector,MZ,1,1.77778014531782e-10,365,39584699.514426455,0.45817367014569654,0.28905976361616303,3.3333333333333335,1,0
CA-3-A033033004,"EN: Foreign Affairs, Trade and Development Canada (DFATD), FR: Affaires étrangères, Commerce et Développement Canada (MAECD)",Bilateral,A01_general,MZ,1,1.3814127619582448e-10,123,50942806.48135117,0.1128897934602008,0.4243433591568432,5.5,1,0
