iatiidentifier,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy
XI-IATI-EC_INTPA-2023-ACT-60734,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2019-PCC-409406,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2021-PCC-428633,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2024-PC-25551,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2021-PCC-428501,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-ACT-61699,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2022-ACT-61508,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2024-PC-26908,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-25147,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-41431,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-25043,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2024-PC-25155,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-25042,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2022-PC-20222,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-27590,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2022-ACT-60987,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2021-ACT-61078,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2024-PC-27708,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-27690,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-27689,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-18126,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2020-ACT-D-42401-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2022-PCC-436209,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-25426,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-ACT-62014,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2024-PC-37405,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2021-PC-1116,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2024-PC-36292,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2017-ACT-D-40031-01,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2024-ACT-62007,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2022-ACT-D-44510-00,110,Standard grant,10,ODA,5,1,Bilateral,1
XI-IATI-EC_INTPA-2022-PC-21486,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2026-PC-83853,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2021-PC-7879,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2019-PCC-408616,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2022-PC-16749,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-21484,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2025-PC-36398,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-32262,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2019-PCC-412775,110,Standard grant,10,ODA,5,1,Bilateral,2
XI-IATI-EC_INTPA-2023-PC-18143,110,Standard grant,10,ODA,5,1,Bilateral,2
