iatiidentifier,country,percentage
XI-IATI-EC_INTPA-2018-PCC-397120,HT,0
XI-IATI-EC_INTPA-2018-PCC-399023,HT,0
XI-IATI-EC_INTPA-2025-PC-55340,JM,0
XI-IATI-EC_INTPA-2019-ACT-D-42051-00,JM,0
XI-IATI-EC_INTPA-2015-ACT-D-38731-01,JM,0
XI-IATI-EC_INTPA-2022-ACT-60692,JM,0
XI-IATI-EC_INTPA-2020-PCC-421423,JM,0
XI-IATI-EC_INTPA-2017-ACT-D-39228-00,JM,0
XI-IATI-EC_INTPA-2022-PC-21579,JM,0
XI-IATI-EC_INTPA-2021-ACT-62799,JM,0
XI-IATI-EC_INTPA-2021-PCC-428606,JM,0
XI-IATI-EC_INTPA-2021-PCC-428618,JM,0
XI-IATI-EC_INTPA-2024-PC-37656,JM,0
XI-IATI-EC_INTPA-2026-PC-80732,JM,0
XI-IATI-EC_INTPA-2022-ACT-60599,KI,0
XI-IATI-EC_INTPA-2020-PCC-416132,KI,0
XI-IATI-EC_INTPA-2023-PC-31976,KI,0
XI-IATI-EC_INTPA-2020-PCC-416065,KI,0
XI-IATI-EC_INTPA-2025-PC-53379,KI,0
XI-IATI-EC_INTPA-2021-ACT-63136,KG,0
XI-IATI-EC_INTPA-2021-ACT-62577,KG,0
XI-IATI-EC_INTPA-2021-ACT-61001,KG,0
XI-IATI-EC_INTPA-2015-ACT-D-37809-00,KG,0
XI-IATI-EC_INTPA-2020-ACT-D-42335-00,KG,0
XI-IATI-EC_INTPA-2015-ACT-D-38149-00,KG,0
XI-IATI-EC_INTPA-2023-PC-19387,KG,0
XI-IATI-EC_INTPA-2022-PC-15528,KG,0
XI-IATI-EC_INTPA-2025-PC-61997,KG,0
XI-IATI-EC_INTPA-2026-PC-75410,KG,0
XI-IATI-EC_INTPA-2016-PCC-375131,KG,0
XI-IATI-EC_INTPA-2026-PC-42830,KG,0
XI-IATI-EC_INTPA-2023-PC-25140,KG,0
XI-IATI-EC_INTPA-2017-ACT-D-38831-00,KH,0
XI-IATI-EC_INTPA-2017-ACT-D-39902-00,KH,0
XI-IATI-EC_INTPA-2023-ACT-61732,KH,0
XI-IATI-EC_INTPA-2018-ACT-D-40874-00,KH,0
XI-IATI-EC_INTPA-2019-ACT-D-41594-00,KH,0
XI-IATI-EC_INTPA-2022-ACT-60558,KH,0
XI-IATI-EC_INTPA-2024-PC-40050,KH,0
XI-IATI-EC_INTPA-2020-PCC-422215,KH,0
XI-IATI-EC_INTPA-2020-PCC-422462,KH,0
XI-IATI-EC_INTPA-2024-PC-25272,KH,0
XI-IATI-EC_INTPA-2022-PC-24289,KH,0
XI-IATI-EC_INTPA-2020-PCC-422494,LC,0
XI-IATI-EC_INTPA-2020-ACT-D-42802-00,KE,0
XI-IATI-EC_INTPA-2020-PCC-416217,KE,0
XI-IATI-EC_INTPA-2020-ACT-D-41871-00,LA,0
XI-IATI-EC_INTPA-2019-ACT-D-41123-00,LA,0
XI-IATI-EC_INTPA-2018-ACT-D-39985-00,LA,0
XI-IATI-EC_INTPA-2026-PC-53801,LA,0
XI-IATI-EC_INTPA-2022-ACT-60628,LA,0
XI-IATI-EC_INTPA-2023-PC-24294,LA,0
XI-IATI-EC_INTPA-2026-PC-81164,LA,0
XI-IATI-EC_INTPA-2022-PCC-421392,LA,0
XI-IATI-EC_INTPA-2016-ACT-D-38868-01,MH,0
XI-IATI-EC_INTPA-2018-PCC-397039,MH,0
XI-IATI-EC_INTPA-2021-ACT-62518,LR,0
XI-IATI-EC_INTPA-2025-PC-69397,LR,0
XI-IATI-EC_INTPA-2025-PC-36183,LR,0
