iatiidentifier,budget_orig,n_budget_lines,budget_ccy
44000-P510901,0,4,USD
44000-P511001,-60313600,4,USD
44000-P511201,-998338740.48,4,USD
44000-P511758,-39879188.9,4,USD
44000-P511822,-20213840,4,USD
44000-P511848,-1976250000,4,USD
44000-P511920,-1580559559.42,4,USD
44000-P512397,-1762348830.42,4,USD
44000-P512526,0.5,4,USD
44000-P512660,0,4,USD
44000-P513028,-653101549.94,4,USD
44000-P513191,0,4,USD
44000-P513503,0,4,USD
44000-P513769,-59850000,4,USD
44000-P513997,0,4,USD
44000-P514501,0,4,USD
PS-TIN-888005972-SO1,88000,4,USD
PS-TIN-888005972-SO2,40000,4,USD
PS-TIN-888005972-SO3,60000,4,USD
PS-TIN-888005972-SO4,60000,4,USD
PS-TIN-888005972-SO5,50000,4,USD
XI-IATI-IADB-BA-U0001,100000000,105,USD
XI-IATI-IADB-BA-U0002,150000000,105,USD
XI-IATI-IADB-BH-U0001,200000000,121,USD
XI-IATI-IADB-BH-U0002,400000000,121,USD
XI-IATI-IADB-EC-U0005,85000000,88,USD
XI-IATI-IADB-EC-U0007,155000000,88,USD
XM-DAC-41111-106347,9886623.84,3,USD
XM-DAC-41111-110521,312527.87,1,USD
XM-DAC-41111-111465,865915,1,USD
XM-DAC-41111-113154,1293735.76,1,USD
XM-DAC-41111-114278,310680,1,USD
XM-DAC-41111-118133,3045920.46,2,USD
XM-DAC-41111-76452,96000,2,USD
XM-DAC-41111-88100,3089672.45,5,USD
XM-DAC-41111-90014,118460.25,5,USD
XM-DAC-41111-90703,2994609.33,10,USD
XM-DAC-41111-92034,1376917.01,5,USD
XM-DAC-41111-95546,1972138.23,5,USD
XM-DAC-41111-98569,12453507.89,3,USD
XM-DAC-46004-37393-032-GRNT0067,56000000,14,USD
XM-DAC-46004-38122-013-LN2215,47224000,24,USD
XM-DAC-46004-54192-001-GRNT0772,100000000,5,USD
