iatiidentifier,commitment_usd_full,disbursement_usd_full,n_disb_years_full
46002-P-BJ-K00-010,27800115.811214164,27800115.811214164,1
46002-P-BJ-KA0-006,32906463.581170242,32535488.96335403,1
46002-P-BJ-KA0-009,29834270.62666886,29644091.526117876,2
46002-P-BJ-KA0-013,20170737.421803698,20117466.812764186,1
46002-P-BJ-KA0-014,40683096.3090939,40951883.95282389,1
46002-P-BJ-KF0-001,42446030.48248797,42446030.48248797,1
46002-P-BJ-KZ0-001,6916126.372545962,6916126.372545962,1
46002-P-BW-K00-001,1475854004.2066324,1325977012.585994,2
46002-P-BW-K00-004,135139797.79145032,134585701.42404398,1
46002-P-BW-K00-005,177220555.2700205,182798504.4893797,1
46002-P-BW-K00-006,303935723.4471602,301649539.3317395,1
46002-P-CD-K00-002,63231571.38459495,59848616.84253066,1
46002-P-CD-K00-012,135610321.030313,135610321.030313,2
46002-P-CF-I00-006,1356103.2103031299,1356103.2103031299,1
46002-P-CF-K00-006,16652947.422522437,16652947.422522437,1
46002-P-CF-K00-007,9492722.47212191,9492722.47212191,1
46002-P-CF-K00-010,14239083.708182864,14239083.708182864,1
46002-P-CF-K00-020,10170774.077273475,10170774.077273475,1
46002-P-CF-K00-021,10848825.682425039,10848825.682425039,1
46002-P-CF-KZ0-002,20341548.154546946,20341548.154546946,1
46002-P-CF-KZ0-003,9980919.627831036,9980919.627831036,1
46002-P-CG-K00-002,67767384.63290964,68571509.24794585,1
46002-P-CG-K00-006,9450994.32199586,10088138.138097415,1
46002-P-CG-K00-009,214966177.55188113,204925574.81824827,1
46002-P-CG-K00-012,105902396.57339841,102127908.31928636,1
46002-P-CI-AA0-037,175804206.6457194,163545909.70793608,2
46002-P-CI-BG0-002,190655194.70251843,35804478.300314486,2
46002-P-CI-I00-003,145414947.2408046,40614221.90188051,2
